id,subject,group_id,assigneeName,status,priority,created_at,updated_at,channel,organization_id,Product,Alert Severity,Product Platform,Product Category,Customer First Response (UTC)
5437,spam,SRC - L1,John brain,open,,"Dec 26, 2023, 01:35 AM","Dec 26, 2023, 01:36 AM",web,Microsoft SRC,,,,,
5436, Infinity - SentinelOne - Black Hash is added/modified by Unauthorised user,SRC - L1,Nir Handa,solved,normal,"Dec 26, 2023, 12:57 AM","Dec 26, 2023, 01:00 AM",web,Infinity,generic_/_other__temp,medium,on-prem,endpointsecurityedr,2023-12-26T09:00:33Z
5435,Suspicious email with malicious attachment,SRC - L1,,open,high,"Dec 26, 2023, 12:52 AM","Dec 26, 2023, 12:59 AM",web,Bosch,,,,,
5433,Honda - GCP GKE - User Attempts Multiple Denied Actions,SRC - L1,Omer Lakhmani,open,normal,"Dec 26, 2023, 12:34 AM","Dec 26, 2023, 12:35 AM",web,Honda,cloud_provider_/_service__gcp_-_gke,medium,gcp,cloud_provider_/_service,
5432,Volvo : GuardDuty - Medium Severity Event,SRC - L1,Omer Lakhmani,pending,normal,"Dec 25, 2023, 10:55 PM","Dec 25, 2023, 10:55 PM",web,Volvo,cloud_provider_/_service__aws_guardduty,medium,aws_platform,cloud_provider_/_service,
5431,Extension Update -  Microsoft 365 ,DevOps,,new,normal,"Dec 25, 2023, 10:29 PM","Dec 25, 2023, 10:29 PM",web,Microsoft Research,,,,,
5430,Infinity - AWS Security Group - Ingress rule was added (Prod) (Critical),SRC - L1,Anna bansal,solved,high,"Dec 25, 2023, 01:05 PM","Dec 25, 2023, 06:21 PM",web,Infinity,firewalls_and_security_groups__aws_security_group,high,aws_platform,cloud_provider_/_service,2023-12-26T02:21:48Z
5429,Integrate Go-anywhere,DevOps,,new,normal,"Dec 25, 2023, 11:01 AM","Dec 25, 2023, 11:02 AM",side_conversation,Microsoft SRC,,,,,
5428,Bosch - Integrate Palo alto access logs,DevOps,,new,normal,"Dec 25, 2023, 10:58 AM","Dec 25, 2023, 10:59 AM",side_conversation,Microsoft SRC,,,,,
5427,Bosch-Crowdstrike-IncidentSummaryEvent,SRC - L1,Ella Gahlot,solved,high,"Dec 25, 2023, 07:55 AM","Dec 25, 2023, 11:01 AM",web,Bosch,endpoint_security__edr___crowdstrike,high,end_point_operating_system,endpointsecurityedr,
